nconobc :
   8
Array: freqnames
  Q1   O1   P1   K1   N2   M2   S2   K2
Array: zetobu_amp
  1.9100000E+00  6.9740000E+00  2.4840000E+00  7.8480000E+00  2.4062000E+01  1.1211700E+02  3.7740002E+01  1.0842000E+01
  1.9020000E+00  6.9540000E+00  2.4890001E+00  7.8629999E+00  2.4031000E+01  1.1180800E+02  3.7655998E+01  1.0818000E+01
  1.9069999E+00  6.8610001E+00  2.4679999E+00  7.7900000E+00  2.4091000E+01  1.1222300E+02  3.7766998E+01  1.0853000E+01
  1.9110000E+00  6.7770000E+00  2.4480000E+00  7.7220001E+00  2.4146999E+01  1.1260400E+02  3.7868999E+01  1.0885000E+01
  1.9140000E+00  6.7020001E+00  2.4300001E+00  7.6620002E+00  2.4198000E+01  1.1294400E+02  3.7959000E+01  1.0914000E+01
  1.9170001E+00  6.6350002E+00  2.4140000E+00  7.6079998E+00  2.4242001E+01  1.1324500E+02  3.8036999E+01  1.0939000E+01
  1.9200000E+00  6.5770001E+00  2.4000001E+00  7.5599999E+00  2.4281000E+01  1.1350900E+02  3.8105000E+01  1.0961000E+01
  1.9220001E+00  6.5279999E+00  2.3880000E+00  7.5180001E+00  2.4315001E+01  1.1373700E+02  3.8161999E+01  1.0980000E+01
  1.9250000E+00  6.4860001E+00  2.3770001E+00  7.4809999E+00  2.4344000E+01  1.1393000E+02  3.8208000E+01  1.0995000E+01
  1.9280000E+00  6.4239998E+00  2.3620000E+00  7.4330001E+00  2.4385000E+01  1.1420800E+02  3.8285000E+01  1.1019000E+01
  1.9290000E+00  6.3959999E+00  2.3540001E+00  7.4050002E+00  2.4405001E+01  1.1434100E+02  3.8312000E+01  1.1029000E+01
  1.9299999E+00  6.3779998E+00  2.3480000E+00  7.3839998E+00  2.4420000E+01  1.1443600E+02  3.8327999E+01  1.1035000E+01
  1.9299999E+00  6.3690000E+00  2.3429999E+00  7.3670001E+00  2.4430000E+01  1.1449200E+02  3.8328999E+01  1.1037000E+01
  1.9299999E+00  6.3699999E+00  2.3390000E+00  7.3569999E+00  2.4434000E+01  1.1450600E+02  3.8316002E+01  1.1035000E+01
  1.9299999E+00  6.3820000E+00  2.3369999E+00  7.3520002E+00  2.4433001E+01  1.1447500E+02  3.8286999E+01  1.1028000E+01
  1.9290000E+00  6.4070001E+00  2.3369999E+00  7.3540001E+00  2.4424000E+01  1.1439700E+02  3.8241001E+01  1.1015000E+01
  1.9280000E+00  6.4429998E+00  2.3390000E+00  7.3620000E+00  2.4409000E+01  1.1426900E+02  3.8175999E+01  1.0998000E+01
  1.9240000E+00  6.5310001E+00  2.3480000E+00  7.3950000E+00  2.4367001E+01  1.1393600E+02  3.8033001E+01  1.0958000E+01
  1.9210000E+00  6.5939999E+00  2.3529999E+00  7.4150000E+00  2.4339001E+01  1.1370400E+02  3.7926998E+01  1.0929000E+01
  1.9180000E+00  6.6719999E+00  2.3590000E+00  7.4419999E+00  2.4302999E+01  1.1341500E+02  3.7798000E+01  1.0894000E+01
  1.9140000E+00  6.7659998E+00  2.3680000E+00  7.4749999E+00  2.4259001E+01  1.1306200E+02  3.7644001E+01  1.0851000E+01
  1.9100000E+00  6.8590002E+00  2.3770001E+00  7.5110002E+00  2.4214001E+01  1.1271000E+02  3.7493999E+01  1.0809000E+01
  1.9100000E+00  6.8550000E+00  2.3770001E+00  7.5100002E+00  2.4216000E+01  1.1272200E+02  3.7500000E+01  1.0811000E+01
  1.9000000E+00  7.1339998E+00  2.4310000E+00  7.7030001E+00  2.4021000E+01  1.1161100E+02  3.7168999E+01  1.0722000E+01
  1.9000000E+00  7.1409998E+00  2.4370000E+00  7.7230000E+00  2.4004999E+01  1.1157500E+02  3.7182999E+01  1.0726000E+01
  1.9010000E+00  7.1520000E+00  2.4470000E+00  7.7570000E+00  2.3979000E+01  1.1151400E+02  3.7206001E+01  1.0733000E+01
  1.9010000E+00  7.1739998E+00  2.4660001E+00  7.8230000E+00  2.3927999E+01  1.1139300E+02  3.7250000E+01  1.0747000E+01
  1.9010000E+00  7.1859999E+00  2.4770000E+00  7.8590002E+00  2.3900000E+01  1.1132800E+02  3.7275002E+01  1.0755000E+01
  1.9010000E+00  7.1989999E+00  2.4890001E+00  7.8979998E+00  2.3871000E+01  1.1126000E+02  3.7301998E+01  1.0763000E+01
  1.9010000E+00  7.2119999E+00  2.5009999E+00  7.9380002E+00  2.3841999E+01  1.1119100E+02  3.7330002E+01  1.0772000E+01
  1.9010000E+00  7.2259998E+00  2.5120001E+00  7.9770002E+00  2.3812000E+01  1.1112300E+02  3.7358002E+01  1.0781000E+01
  1.9010000E+00  7.2389998E+00  2.5239999E+00  8.0170002E+00  2.3783001E+01  1.1105700E+02  3.7386002E+01  1.0790000E+01
  1.9020000E+00  7.2519999E+00  2.5360000E+00  8.0559998E+00  2.3754000E+01  1.1099100E+02  3.7414001E+01  1.0798000E+01
  1.9020000E+00  7.2690001E+00  2.5510001E+00  8.1059999E+00  2.3715000E+01  1.1089800E+02  3.7448002E+01  1.0809000E+01
  1.9020000E+00  7.2849998E+00  2.5660000E+00  8.1560001E+00  2.3677000E+01  1.1080600E+02  3.7480000E+01  1.0819000E+01
  1.9020000E+00  7.2969999E+00  2.5760000E+00  8.1910000E+00  2.3650999E+01  1.1074900E+02  3.7506001E+01  1.0827000E+01
  1.9020000E+00  7.3090000E+00  2.5860000E+00  8.2259998E+00  2.3627001E+01  1.1069400E+02  3.7532001E+01  1.0835000E+01
  1.9020000E+00  7.3200002E+00  2.5969999E+00  8.2600002E+00  2.3601999E+01  1.1064100E+02  3.7556999E+01  1.0843000E+01
  1.9030000E+00  7.3319998E+00  2.6070001E+00  8.2939997E+00  2.3579000E+01  1.1058900E+02  3.7583000E+01  1.0851000E+01
  1.9030000E+00  7.3429999E+00  2.6170001E+00  8.3269997E+00  2.3556000E+01  1.1054000E+02  3.7609001E+01  1.0859000E+01
  1.9030000E+00  7.3540001E+00  2.6259999E+00  8.3599997E+00  2.3534000E+01  1.1049400E+02  3.7634998E+01  1.0867000E+01
  1.9030000E+00  7.3649998E+00  2.6359999E+00  8.3920002E+00  2.3511999E+01  1.1044900E+02  3.7660000E+01  1.0875000E+01
  1.9040000E+00  7.3759999E+00  2.6450000E+00  8.4239998E+00  2.3492001E+01  1.1040700E+02  3.7686001E+01  1.0883000E+01
  1.9040000E+00  7.3870001E+00  2.6550000E+00  8.4549999E+00  2.3472000E+01  1.1036700E+02  3.7712002E+01  1.0891000E+01
  1.9040000E+00  7.3979998E+00  2.6640000E+00  8.4860001E+00  2.3452999E+01  1.1033000E+02  3.7737999E+01  1.0899000E+01
  1.9040000E+00  7.4080000E+00  2.6730001E+00  8.5159998E+00  2.3434000E+01  1.1029600E+02  3.7764000E+01  1.0907000E+01
  1.9050000E+00  7.4190001E+00  2.6819999E+00  8.5459995E+00  2.3417000E+01  1.1026400E+02  3.7790001E+01  1.0915000E+01
  1.9050000E+00  7.4289999E+00  2.6910000E+00  8.5749998E+00  2.3400000E+01  1.1023500E+02  3.7817001E+01  1.0923000E+01
  1.9050000E+00  7.4390001E+00  2.6989999E+00  8.6029997E+00  2.3384001E+01  1.1020800E+02  3.7842999E+01  1.0931000E+01
  1.9060000E+00  7.4489999E+00  2.7079999E+00  8.6320000E+00  2.3368999E+01  1.1018500E+02  3.7869999E+01  1.0939000E+01
  1.9060000E+00  7.4590001E+00  2.7160001E+00  8.6590004E+00  2.3355000E+01  1.1016500E+02  3.7896999E+01  1.0947000E+01
  1.9060000E+00  7.4699998E+00  2.7249999E+00  8.6910000E+00  2.3330999E+01  1.1010700E+02  3.7917999E+01  1.0954000E+01
  1.9069999E+00  7.4790001E+00  2.7330000E+00  8.7170000E+00  2.3318001E+01  1.1009100E+02  3.7945000E+01  1.0962000E+01
  1.9069999E+00  7.4889998E+00  2.7409999E+00  8.7430000E+00  2.3306999E+01  1.1008000E+02  3.7973000E+01  1.0970000E+01
  1.9069999E+00  7.4980001E+00  2.7500000E+00  8.7729998E+00  2.3283001E+01  1.1002300E+02  3.7992001E+01  1.0976000E+01
  1.9080000E+00  7.5079999E+00  2.7570000E+00  8.7980003E+00  2.3273001E+01  1.1001600E+02  3.8020000E+01  1.0985000E+01
  1.9080000E+00  7.5170002E+00  2.7650001E+00  8.8230000E+00  2.3264000E+01  1.1001400E+02  3.8049000E+01  1.0993000E+01
  1.9080000E+00  7.5260000E+00  2.7730000E+00  8.8500004E+00  2.3242001E+01  1.0995700E+02  3.8064999E+01  1.0999000E+01
  1.9090000E+00  7.5349998E+00  2.7800000E+00  8.8739996E+00  2.3235001E+01  1.0996000E+02  3.8095001E+01  1.1007000E+01
  1.9090000E+00  7.5430002E+00  2.7880001E+00  8.8999996E+00  2.3212000E+01  1.0990100E+02  3.8108002E+01  1.1012000E+01
  1.9090000E+00  7.5530000E+00  2.7950001E+00  8.9230003E+00  2.3205999E+01  1.0991000E+02  3.8139000E+01  1.1021000E+01
  1.9090000E+00  7.5599999E+00  2.8020000E+00  8.9469995E+00  2.3183001E+01  1.0984700E+02  3.8148998E+01  1.1024000E+01
  1.9090000E+00  7.5669999E+00  2.8090000E+00  8.9689999E+00  2.3159000E+01  1.0977800E+02  3.8155998E+01  1.1027000E+01
  1.9100000E+00  7.5749998E+00  2.8150001E+00  8.9910002E+00  2.3156000E+01  1.0979300E+02  3.8187000E+01  1.1036000E+01
  1.9090000E+00  7.5809999E+00  2.8210001E+00  9.0120001E+00  2.3129999E+01  1.0971500E+02  3.8188999E+01  1.1037000E+01
  1.9100000E+00  7.5900002E+00  2.8280001E+00  9.0330000E+00  2.3128000E+01  1.0973600E+02  3.8220001E+01  1.1046000E+01
  1.9110000E+00  7.5980000E+00  2.8340001E+00  9.0539999E+00  2.3127001E+01  1.0976300E+02  3.8252998E+01  1.1056000E+01
  1.9110000E+00  7.6069999E+00  2.8399999E+00  9.0749998E+00  2.3128000E+01  1.0979500E+02  3.8286999E+01  1.1066000E+01
  1.9119999E+00  7.6160002E+00  2.8469999E+00  9.0959997E+00  2.3129999E+01  1.0983400E+02  3.8323002E+01  1.1076000E+01
  1.9130000E+00  7.6250000E+00  2.8529999E+00  9.1169996E+00  2.3134001E+01  1.0988000E+02  3.8361000E+01  1.1087000E+01
  1.9140000E+00  7.6350002E+00  2.8599999E+00  9.1379995E+00  2.3139999E+01  1.0993400E+02  3.8401001E+01  1.1099000E+01
  1.9150000E+00  7.6440001E+00  2.8659999E+00  9.1590004E+00  2.3148001E+01  1.0999600E+02  3.8443001E+01  1.1111000E+01
  1.9160000E+00  7.6539998E+00  2.8729999E+00  9.1809998E+00  2.3157000E+01  1.1006700E+02  3.8487999E+01  1.1125000E+01
  1.9180000E+00  7.6650000E+00  2.8789999E+00  9.2019997E+00  2.3170000E+01  1.1014700E+02  3.8535999E+01  1.1138000E+01
  1.9190000E+00  7.6750002E+00  2.8859999E+00  9.2229996E+00  2.3184000E+01  1.1023800E+02  3.8587002E+01  1.1153000E+01
  1.9210000E+00  7.6859999E+00  2.8920000E+00  9.2449999E+00  2.3201000E+01  1.1033900E+02  3.8640999E+01  1.1169000E+01
  1.9220001E+00  7.6970000E+00  2.8989999E+00  9.2670002E+00  2.3219999E+01  1.1045100E+02  3.8698002E+01  1.1185000E+01
  1.9240000E+00  7.7090001E+00  2.9059999E+00  9.2889996E+00  2.3242001E+01  1.1057500E+02  3.8758999E+01  1.1203000E+01
  1.9260000E+00  7.7210002E+00  2.9130001E+00  9.3120003E+00  2.3267000E+01  1.1071100E+02  3.8824001E+01  1.1221000E+01
  1.9280000E+00  7.7329998E+00  2.9200001E+00  9.3339996E+00  2.3295000E+01  1.1085900E+02  3.8891998E+01  1.1241000E+01
  1.9330000E+00  7.7600002E+00  2.9330001E+00  9.3750000E+00  2.3386999E+01  1.1130000E+02  3.9063999E+01  1.1290000E+01
  1.9360000E+00  7.7750001E+00  2.9410000E+00  9.3999996E+00  2.3424000E+01  1.1149200E+02  3.9147999E+01  1.1314000E+01
  1.9380000E+00  7.7900000E+00  2.9489999E+00  9.4250002E+00  2.3464001E+01  1.1169600E+02  3.9235001E+01  1.1339000E+01
  1.9410000E+00  7.8049998E+00  2.9570000E+00  9.4499998E+00  2.3506001E+01  1.1190600E+02  3.9324001E+01  1.1365000E+01
  1.9480000E+00  7.8400002E+00  2.9740000E+00  9.5030003E+00  2.3629000E+01  1.1249300E+02  3.9549999E+01  1.1429000E+01
  1.9560000E+00  7.8779998E+00  2.9920001E+00  9.5600004E+00  2.3760000E+01  1.1312600E+02  3.9794998E+01  1.1499000E+01
  1.9600000E+00  7.8959999E+00  3.0009999E+00  9.5900002E+00  2.3818001E+01  1.1340600E+02  3.9909000E+01  1.1531000E+01
  1.9680001E+00  7.9400001E+00  3.0220001E+00  9.6549997E+00  2.3966000E+01  1.1412000E+02  4.0186001E+01  1.1611000E+01
  1.9780000E+00  7.9870000E+00  3.0450001E+00  9.7259998E+00  2.4124001E+01  1.1488300E+02  4.0484001E+01  1.1696000E+01
  1.9870000E+00  8.0369997E+00  3.0690000E+00  9.8020000E+00  2.4292000E+01  1.1569000E+02  4.0800999E+01  1.1786000E+01
  1.9970000E+00  8.0819998E+00  3.0910001E+00  9.8719997E+00  2.4441000E+01  1.1641300E+02  4.1087002E+01  1.1868000E+01
  2.0890000E+00  8.0660000E+00  3.1010001E+00  9.9370003E+00  2.4429001E+01  1.1644100E+02  4.1268002E+01  1.1892000E+01
  2.1580000E+00  8.0410004E+00  3.1020000E+00  9.9670000E+00  2.4375000E+01  1.1624300E+02  4.1320999E+01  1.1885000E+01
  2.2200000E+00  8.0170002E+00  3.1020000E+00  9.9930000E+00  2.4326000E+01  1.1606400E+02  4.1368000E+01  1.1880000E+01
  2.2950001E+00  7.9899998E+00  3.1029999E+00  1.0025000E+01  2.4267000E+01  1.1585100E+02  4.1426998E+01  1.1873000E+01
  2.3490000E+00  7.9699998E+00  3.1040001E+00  1.0048000E+01  2.4225000E+01  1.1569500E+02  4.1469002E+01  1.1868000E+01
  2.4010000E+00  7.9499998E+00  3.1040001E+00  1.0071000E+01  2.4183001E+01  1.1554300E+02  4.1509998E+01  1.1863000E+01
  2.4519999E+00  7.9310002E+00  3.1050000E+00  1.0092000E+01  2.4143000E+01  1.1539700E+02  4.1549000E+01  1.1858000E+01
  2.5009999E+00  7.9120002E+00  3.1050000E+00  1.0113000E+01  2.4104000E+01  1.1525600E+02  4.1585999E+01  1.1854000E+01
